country,countryLabel,language,type,count
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13955,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q837985,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q188,native,458
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q256,native,86
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1860,native,17
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9129,native,6
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q5146,native,4
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q652,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7411,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13955,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q150,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9067,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9072,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q25442,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q25448,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q33578,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q36510,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q750553,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q837985,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q188,native,376
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q256,native,118
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1860,native,20
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q5146,native,8
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q150,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q652,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9067,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9129,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q36510,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q6654,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q8748,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9035,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9176,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13955,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q30007,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q837985,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q188,native,265
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q256,native,91
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1860,native,24
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9176,native,4
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q5146,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q25448,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q652,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7737,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9129,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q150,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7850,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9027,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9168,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9240,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13955,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q25433,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q29540,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q837985,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q188,native,199
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q256,native,122
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1860,native,17
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q5146,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7737,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q150,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q652,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9129,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7976,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9063,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9067,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9176,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13955,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q25448,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q33239,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q306626,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q837985,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q188,native,160
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q256,native,123
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1860,native,8
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q5146,native,5
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9176,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q809,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9129,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q652,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1321,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9199,native,1
