country,countryLabel,ethnicGroup,ethnicGroupLabel,genderCategory,count
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q1363781,indigenous peoples in Brazil,Male,6
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q235155,white people,Male,5
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q321090,German Brazilians,Female,5
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q873625,Brazilians,Male,5
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q1144461,Japanese Brazilians,Female,5
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q2615416,Portuguese Brazilians,Male,5
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q2615416,Portuguese Brazilians,Female,5
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q321090,German Brazilians,Male,4
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q618073,Desano,Male,4
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q235155,white people,Female,3
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q894069,Bororo people (Brazil),Female,3
