country,countryLabel,ageGroup,count
http://www.wikidata.org/entity/Q766,Jamaica,15-24 youth,20
http://www.wikidata.org/entity/Q766,Jamaica,25-59 adult,1198
http://www.wikidata.org/entity/Q766,Jamaica,60+ senior,710
http://www.wikidata.org/entity/Q17,Japan,0-14 child,31
http://www.wikidata.org/entity/Q17,Japan,15-24 youth,2322
http://www.wikidata.org/entity/Q17,Japan,25-59 adult,57526
http://www.wikidata.org/entity/Q17,Japan,60+ senior,36030
http://www.wikidata.org/entity/Q810,Jordan,0-14 child,1
http://www.wikidata.org/entity/Q810,Jordan,15-24 youth,18
http://www.wikidata.org/entity/Q810,Jordan,25-59 adult,571
http://www.wikidata.org/entity/Q810,Jordan,60+ senior,277
http://www.wikidata.org/entity/Q232,Kazakhstan,0-14 child,1
http://www.wikidata.org/entity/Q232,Kazakhstan,15-24 youth,159
http://www.wikidata.org/entity/Q232,Kazakhstan,25-59 adult,3378
http://www.wikidata.org/entity/Q232,Kazakhstan,60+ senior,3211
http://www.wikidata.org/entity/Q114,Kenya,15-24 youth,23
http://www.wikidata.org/entity/Q114,Kenya,25-59 adult,1410
http://www.wikidata.org/entity/Q114,Kenya,60+ senior,453
http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands,15-24 youth,20
http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands,25-59 adult,486
http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands,60+ senior,353
http://www.wikidata.org/entity/Q710,Kiribati,25-59 adult,30
http://www.wikidata.org/entity/Q710,Kiribati,60+ senior,11
http://www.wikidata.org/entity/Q817,Kuwait,15-24 youth,3
http://www.wikidata.org/entity/Q817,Kuwait,25-59 adult,430
http://www.wikidata.org/entity/Q817,Kuwait,60+ senior,205
http://www.wikidata.org/entity/Q813,Kyrgyzstan,15-24 youth,16
http://www.wikidata.org/entity/Q813,Kyrgyzstan,25-59 adult,596
http://www.wikidata.org/entity/Q813,Kyrgyzstan,60+ senior,556
http://www.wikidata.org/entity/Q819,Laos,15-24 youth,6
http://www.wikidata.org/entity/Q819,Laos,25-59 adult,135
http://www.wikidata.org/entity/Q819,Laos,60+ senior,68
http://www.wikidata.org/entity/Q211,Latvia,15-24 youth,78
http://www.wikidata.org/entity/Q211,Latvia,25-59 adult,2321
http://www.wikidata.org/entity/Q211,Latvia,60+ senior,1443
http://www.wikidata.org/entity/Q822,Lebanon,15-24 youth,27
http://www.wikidata.org/entity/Q822,Lebanon,25-59 adult,1188
http://www.wikidata.org/entity/Q822,Lebanon,60+ senior,1049
http://www.wikidata.org/entity/Q1013,Lesotho,15-24 youth,5
http://www.wikidata.org/entity/Q1013,Lesotho,25-59 adult,108
http://www.wikidata.org/entity/Q1013,Lesotho,60+ senior,32
http://www.wikidata.org/entity/Q1014,Liberia,15-24 youth,12
http://www.wikidata.org/entity/Q1014,Liberia,25-59 adult,335
http://www.wikidata.org/entity/Q1014,Liberia,60+ senior,45
http://www.wikidata.org/entity/Q1016,Libya,15-24 youth,5
http://www.wikidata.org/entity/Q1016,Libya,25-59 adult,242
http://www.wikidata.org/entity/Q1016,Libya,60+ senior,224
http://www.wikidata.org/entity/Q347,Liechtenstein,15-24 youth,8
http://www.wikidata.org/entity/Q347,Liechtenstein,25-59 adult,138
http://www.wikidata.org/entity/Q347,Liechtenstein,60+ senior,113
http://www.wikidata.org/entity/Q37,Lithuania,0-14 child,1
http://www.wikidata.org/entity/Q37,Lithuania,15-24 youth,63
http://www.wikidata.org/entity/Q37,Lithuania,25-59 adult,2473
http://www.wikidata.org/entity/Q37,Lithuania,60+ senior,3398
http://www.wikidata.org/entity/Q32,Luxembourg,0-14 child,5
http://www.wikidata.org/entity/Q32,Luxembourg,15-24 youth,27
http://www.wikidata.org/entity/Q32,Luxembourg,25-59 adult,793
http://www.wikidata.org/entity/Q32,Luxembourg,60+ senior,836
http://www.wikidata.org/entity/Q1019,Madagascar,15-24 youth,3
http://www.wikidata.org/entity/Q1019,Madagascar,25-59 adult,216
http://www.wikidata.org/entity/Q1019,Madagascar,60+ senior,141
http://www.wikidata.org/entity/Q1020,Malawi,15-24 youth,11
http://www.wikidata.org/entity/Q1020,Malawi,25-59 adult,170
http://www.wikidata.org/entity/Q1020,Malawi,60+ senior,41
http://www.wikidata.org/entity/Q833,Malaysia,0-14 child,8
http://www.wikidata.org/entity/Q833,Malaysia,15-24 youth,98
http://www.wikidata.org/entity/Q833,Malaysia,25-59 adult,3342
http://www.wikidata.org/entity/Q833,Malaysia,60+ senior,1207
http://www.wikidata.org/entity/Q826,Maldives,15-24 youth,2
http://www.wikidata.org/entity/Q826,Maldives,25-59 adult,178
http://www.wikidata.org/entity/Q826,Maldives,60+ senior,39
http://www.wikidata.org/entity/Q912,Mali,15-24 youth,50
http://www.wikidata.org/entity/Q912,Mali,25-59 adult,534
http://www.wikidata.org/entity/Q912,Mali,60+ senior,273
