Country,Gender,Count
Northern Cyprus,Female,39
Northern Cyprus,Unknown,3
Norway,Male,15655
Norway,Female,5676
Norway,Unknown,8
Norway,Non-binary or other,4
Oman,Male,250
Oman,Female,50
Pakistan,Male,5683
Pakistan,Female,1253
Pakistan,Unknown,126
Palau,Male,34
Palau,Female,13
Palau,Unknown,1
Palestine,Male,4183
Palestine,Female,1069
Palestine,Unknown,26
Panama,Male,1071
Panama,Female,343
Panama,Unknown,5
Papua New Guinea,Male,377
Papua New Guinea,Female,85
Papua New Guinea,Unknown,1
Paraguay,Male,1887
Paraguay,Female,254
Paraguay,Unknown,7
Paraguay,Non-binary or other,1
People's Republic of China,Male,19614
People's Republic of China,Female,7737
People's Republic of China,Unknown,1000
People's Republic of China,Non-binary or other,13
Peru,Male,5950
Peru,Female,1912
Peru,Unknown,11
Peru,Non-binary or other,6
Philippines,Male,4221
Philippines,Female,1742
Philippines,Unknown,90
Philippines,Non-binary or other,11
Pitcairn Islands,Female,1
Poland,Male,62682
Poland,Female,15886
Poland,Unknown,999
Poland,Non-binary or other,8
Portugal,Male,9797
Portugal,Female,2446
Portugal,Unknown,33
Portugal,Non-binary or other,6
Puerto Rico,Male,10
Puerto Rico,Female,7
Q785,Male,55
Q785,Female,13
Qatar,Male,620
Qatar,Female,65
Qatar,Unknown,2
Republic of the Congo,Male,590
Republic of the Congo,Female,110
Republic of the Congo,Unknown,4
Romania,Male,17692
Romania,Female,5156
Romania,Unknown,88
Romania,Non-binary or other,2
Russia,Male,94771
Russia,Female,22724
Russia,Unknown,1256
Russia,Non-binary or other,18
Rwanda,Male,344
Rwanda,Female,186
Rwanda,Unknown,22
Rwanda,Non-binary or other,1
"Saint Helena, Ascension and Tristan da Cunha",Female,2
Saint Kitts and Nevis,Male,200
Saint Kitts and Nevis,Female,25
Saint Lucia,Male,145
Saint Lucia,Female,43
Saint Lucia,Unknown,5
Saint Vincent and the Grenadines,Male,143
Saint Vincent and the Grenadines,Female,25
Saint Vincent and the Grenadines,Unknown,1
Saint-Martin,Female,1
Samoa,Male,375
Samoa,Female,45
Samoa,Non-binary or other,3
San Marino,Male,310
San Marino,Female,41
Saudi Arabia,Male,3043
Saudi Arabia,Female,353
Saudi Arabia,Unknown,13
Saudi Arabia,Non-binary or other,1
Senegal,Male,1939
Senegal,Female,450
Senegal,Unknown,97
Senegal,Non-binary or other,3
Serbia,Male,11290
Serbia,Female,3052
Serbia,Unknown,1475
Serbia,Non-binary or other,1
Seychelles,Male,87
Seychelles,Female,38
Seychelles,Unknown,8
Sierra Leone,Male,421
Sierra Leone,Female,96
Sierra Leone,Unknown,2
Singapore,Male,1410
Singapore,Female,591
Singapore,Unknown,37
Singapore,Non-binary or other,2
Sint Maarten,Male,19
Sint Maarten,Female,5
Slovakia,Male,14014
Slovakia,Female,3644
Slovakia,Unknown,256
Slovakia,Non-binary or other,4
Slovenia,Male,9943
Slovenia,Female,3335
Slovenia,Unknown,33
Solomon Islands,Male,142
Solomon Islands,Female,29
Somalia,Male,501
Somalia,Female,146
Somalia,Unknown,6
Somaliland,Male,5
Somaliland,Female,1
South Africa,Male,9682
South Africa,Female,2732
South Africa,Unknown,51
South Africa,Non-binary or other,13
South Korea,Male,11580
South Korea,Female,5196
South Korea,Unknown,998
South Korea,Non-binary or other,5
South Sudan,Male,170
South Sudan,Female,50
Spain,Male,70225
Spain,Female,24439
Spain,Unknown,534
Spain,Non-binary or other,75
Sri Lanka,Male,2291
Sri Lanka,Female,473
Sri Lanka,Unknown,101
Sri Lanka,Non-binary or other,1
Sudan,Male,565
Sudan,Female,169
Sudan,Unknown,4
Sudan,Non-binary or other,2
Suriname,Male,927
Suriname,Female,221
Suriname,Unknown,21
Sweden,Male,26332
Sweden,Female,10423
Sweden,Unknown,29
Sweden,Non-binary or other,11
Switzerland,Male,21246
Switzerland,Female,6508
Switzerland,Unknown,489
Switzerland,Non-binary or other,9
Syria,Male,2862
Syria,Female,565
Syria,Unknown,38
São Tomé and Príncipe,Male,95
São Tomé and Príncipe,Female,26
Taiwan,Male,6320
Taiwan,Female,2526
Taiwan,Unknown,259
Taiwan,Non-binary or other,2
Tajikistan,Male,1361
Tajikistan,Unknown,509
Tajikistan,Female,395
Tanzania,Male,638
Tanzania,Female,226
Tanzania,Unknown,8
Thailand,Male,3338
Thailand,Female,1317
Thailand,Unknown,262
Thailand,Non-binary or other,4
The Bahamas,Male,337
The Bahamas,Female,103
The Bahamas,Unknown,3
The Gambia,Male,493
The Gambia,Female,106
Timor-Leste,Male,381
Timor-Leste,Female,117
Timor-Leste,Unknown,11
Togo,Male,480
Togo,Female,126
Togo,Unknown,5
Tonga,Male,398
Tonga,Female,41
Tonga,Unknown,1
Trinidad and Tobago,Male,1077
Trinidad and Tobago,Female,318
Trinidad and Tobago,Unknown,11
Trinidad and Tobago,Non-binary or other,1
Tunisia,Male,3225
Tunisia,Female,681
Tunisia,Unknown,5
Tunisia,Non-binary or other,1
Turkey,Male,21102
Turkey,Female,4930
Turkey,Unknown,461
Turkmenistan,Male,741
Turkmenistan,Female,112
Turkmenistan,Unknown,18
Turks and Caicos Islands,Female,1
Tuvalu,Male,70
Tuvalu,Female,5
Uganda,Male,1703
Uganda,Female,908
Uganda,Unknown,8
Uganda,Non-binary or other,1
Ukraine,Male,54837
Ukraine,Female,12633
Ukraine,Unknown,303
Ukraine,Non-binary or other,1
United Arab Emirates,Male,1070
United Arab Emirates,Female,227
United Arab Emirates,Unknown,3
United Kingdom,Male,97682
United Kingdom,Female,24331
United Kingdom,Unknown,269
United Kingdom,Non-binary or other,101
United States,Male,251178
United States,Female,77426
United States,Unknown,2154
United States,Non-binary or other,548
United States Virgin Islands,Male,31
United States Virgin Islands,Female,8
Uruguay,Male,8097
Uruguay,Female,2337
Uruguay,Unknown,20
Uruguay,Non-binary or other,4
Uzbekistan,Male,3398
Uzbekistan,Female,868
Uzbekistan,Unknown,455
Vanuatu,Male,159
Vanuatu,Female,21
Vatican City,Male,2
Vatican City,Female,1
Venezuela,Male,4660
Venezuela,Female,1665
Venezuela,Unknown,186
Venezuela,Non-binary or other,2
Vietnam,Male,3648
Vietnam,Female,1290
Vietnam,Unknown,929
Vietnam,Non-binary or other,1
