Country,Ethnic Group,Gender,Count
Finland,Finnish Kale,Male,6
Finland,Finns,Female,7
Finland,Finns,Male,15
Finland,Inari Sami people,Female,2
Finland,Inari Sami people,Male,1
Finland,Inuit,Male,1
Finland,Jewish people,Male,1
Finland,Northern Sámi people,Female,15
Finland,Northern Sámi people,Male,7
Finland,Romani people,Male,1
Finland,Skolts,Female,8
Finland,Skolts,Male,2
Finland,Sweden Finns,Female,2
Finland,Swedish-speaking population of Finland,Female,20
Finland,Swedish-speaking population of Finland,Male,37
Finland,Swedish-speaking population of Finland,Non-binary or other,1
Finland,Sámi people,Female,3
Finland,Sámi people,Male,1
Gabon,Fang people,Male,2
Gabon,Gbaya people,Male,1
Gabon,Kombe people,Female,1
Gabon,Mpongwe people,Female,2
Gabon,Mpongwe people,Male,1
Gabon,Myene people,Female,1
Gabon,Teke people,Male,1
Gabon,mulatto,Male,1
Georgia,Abkhazians,Male,3
Georgia,Armenian Americans,Male,1
Georgia,Armenians,Female,18
Georgia,Armenians,Male,165
Georgia,Armenians,Unknown,4
Georgia,Assyrians,Male,1
Georgia,Azerbaijanis,Female,1
Georgia,Azerbaijanis,Unknown,1
Georgia,Georgians,Female,7
Georgia,Georgians,Male,36
Georgia,Georgians,Unknown,35
Georgia,Ossetians,Female,1
Georgia,Ossetians,Male,8
Georgia,Russians,Male,2
Georgia,Svan people,Male,1
Georgia,Ukrainians,Female,1
Georgia,Ukrainians,Male,1
Germany,Afghans in Germany,Male,3
Germany,African Americans,Female,2
Germany,African Americans,Male,4
Germany,Afro-Germans,Female,4
Germany,Afro-Germans,Male,2
Germany,Czechs,Male,4
Germany,Galicians,Female,2
Germany,Galicians,Male,6
Germany,Germans,Female,4
Germany,Germans,Male,24
Germany,Germans,Unknown,1
Germany,Jewish people,Female,33
Germany,Jewish people,Male,55
Germany,Jewish people,Unknown,2
Germany,Kurds,Male,4
Germany,Kurds,Unknown,1
Germany,Sinti,Female,4
Germany,Sinti,Male,2
Germany,Sorbs,Female,1
Germany,Sorbs,Male,3
Germany,Turks,Male,5
Germany,Turks in Germany,Female,7
Germany,Turks in Germany,Male,5
Ghana,African Americans,Female,1
Ghana,African Americans,Male,5
Ghana,African people,Female,7
Ghana,Afrikaners,Female,1
Ghana,Afro-Catalan,Female,1
Ghana,Akan,Female,2
Ghana,Akan,Male,1
Ghana,Asante,Male,2
Ghana,Bissa people,Male,1
Ghana,Black people,Female,1
Ghana,Black people,Male,1
Ghana,Dagbamba,Female,1
Ghana,Dagbamba,Male,6
Ghana,Ewe,Male,5
Ghana,Ghanaians,Male,3
Ghana,Gonja people,Male,3
Greece,Armenians,Male,8
Greece,Aromanians,Female,1
Greece,Aromanians,Male,2
Greece,Bulgarians,Male,2
Greece,Bulgarians,Unknown,2
Greece,French,Male,2
Greece,Grecomans,Unknown,2
Greece,Greek Americans,Female,6
Greece,Greek Americans,Male,2
Greece,Greeks,Female,7
Greece,Greeks,Male,71
Greece,Greeks,Unknown,2
Greece,Jewish people,Female,1
Greece,Jewish people,Male,1
Greece,Jewish people,Unknown,1
Greece,Macedonian Americans,Unknown,3
Greece,Macedonians,Female,1
Greece,Macedonians,Unknown,3
Greece,Roma in Greece,Female,2
Greece,Roma in Greece,Male,5
Greece,Sephardi Jews,Female,2
Greece,Sephardi Jews,Male,1
Greenland,Inuit,Female,1
Greenland,Inuit,Male,1
Greenland,Kalaallit,Male,1
Greenland,Kilamiut,Male,1
Grenada,Black Canadians,Male,1
Grenada,Black people,Male,1
Grenada,Caribbean people,Male,1
Grenada,Grenadians,Female,1
Grenada,Saint Lucians,Female,1
Guatemala,Chinese Americans,Female,1
Guatemala,Cuban Americans,Male,1
Guatemala,Guatemalan Americans,Male,1
Guatemala,Hispanic and Latino Americans,Male,1
Guatemala,Kaqchikel people,Female,6
Guatemala,Kʼicheʼ,Female,5
Guatemala,Latino,Male,1
Guatemala,Mam people,Female,1
Guatemala,Maya people,Female,1
Guatemala,Q'eqchi' people,Female,2
Guatemala,Q'eqchi' people,Male,1
Guernsey,Normans,Male,1
Guinea,Afro-Catalan,Female,1
Guinea,Black people,Male,1
Guinea,Fulbe people,Female,2
Guinea,Krahn people,Male,1
Guinea,Liberian Americans,Male,1
Guinea-Bissau,Afro-Spaniard,Male,1
Guinea-Bissau,Balanta people,Male,1
Guinea-Bissau,Black people,Male,3
Guinea-Bissau,Papel people,Male,1
Guyana,African Americans,Female,1
Guyana,African Americans,Male,3
Guyana,African people,Female,1
Guyana,Black people,Male,1
Guyana,Guyanese,Male,2
Guyana,Indigenous peoples of the Americas,Female,1
Guyana,Indo-Guyanese,Female,1
Guyana,Wapishana people,Female,1
Haiti,African Americans,Female,2
Haiti,African Americans,Male,6
Haiti,Afro Caribbeans,Male,2
Haiti,Black people,Female,1
Haiti,Católica,Male,3
Haiti,Haitian Americans,Male,1
Honduras,Honduran Americans,Male,1
Honduras,Latino,Female,1
Honduras,Lenca people,Female,3
Hungary,Ashkenazi Jews,Male,2
Hungary,Germans of Hungary,Female,1
Hungary,Germans of Hungary,Male,4
Hungary,Greeks,Female,1
Hungary,Greeks,Male,1
