Country,Age Group,Count
Paraguay,15-24 youth,59
Paraguay,25-59 adult,1253
Paraguay,60+ senior,367
People's Republic of China,0-14 child,18
People's Republic of China,15-24 youth,663
People's Republic of China,25-59 adult,11333
People's Republic of China,60+ senior,7778
Peru,15-24 youth,271
Peru,25-59 adult,3306
Peru,60+ senior,2261
Philippines,0-14 child,8
Philippines,15-24 youth,132
Philippines,25-59 adult,2658
Philippines,60+ senior,1313
Pitcairn Islands,25-59 adult,1
Poland,0-14 child,2
Poland,15-24 youth,416
Poland,25-59 adult,17651
Poland,60+ senior,22433
Portugal,0-14 child,4
Portugal,15-24 youth,201
Portugal,25-59 adult,5035
Portugal,60+ senior,3000
Puerto Rico,25-59 adult,4
Puerto Rico,60+ senior,3
Q785,25-59 adult,23
Q785,60+ senior,16
Qatar,15-24 youth,19
Qatar,25-59 adult,527
Qatar,60+ senior,78
Republic of the Congo,15-24 youth,9
Republic of the Congo,25-59 adult,309
Republic of the Congo,60+ senior,190
Romania,15-24 youth,313
Romania,25-59 adult,7575
Romania,60+ senior,5988
Russia,0-14 child,34
Russia,15-24 youth,1283
Russia,25-59 adult,30751
Russia,60+ senior,27932
Rwanda,15-24 youth,5
Rwanda,25-59 adult,277
Rwanda,60+ senior,129
"Saint Helena, Ascension and Tristan da Cunha",25-59 adult,2
Saint Kitts and Nevis,15-24 youth,1
Saint Kitts and Nevis,25-59 adult,134
Saint Kitts and Nevis,60+ senior,54
Saint Lucia,15-24 youth,3
Saint Lucia,25-59 adult,102
Saint Lucia,60+ senior,37
Saint Vincent and the Grenadines,15-24 youth,3
Saint Vincent and the Grenadines,25-59 adult,96
Saint Vincent and the Grenadines,60+ senior,32
Saint-Martin,25-59 adult,1
Samoa,15-24 youth,4
Samoa,25-59 adult,265
Samoa,60+ senior,66
San Marino,15-24 youth,11
San Marino,25-59 adult,214
San Marino,60+ senior,97
Saudi Arabia,15-24 youth,50
Saudi Arabia,25-59 adult,1853
Saudi Arabia,60+ senior,499
Senegal,15-24 youth,96
Senegal,25-59 adult,1346
Senegal,60+ senior,507
Serbia,0-14 child,2
Serbia,15-24 youth,229
Serbia,25-59 adult,7395
Serbia,60+ senior,3468
Seychelles,15-24 youth,6
Seychelles,25-59 adult,78
Seychelles,60+ senior,31
Sierra Leone,15-24 youth,13
Sierra Leone,25-59 adult,266
Sierra Leone,60+ senior,76
Singapore,0-14 child,2
Singapore,15-24 youth,62
Singapore,25-59 adult,1122
Singapore,60+ senior,433
Sint Maarten,25-59 adult,16
Sint Maarten,60+ senior,6
Slovakia,15-24 youth,161
Slovakia,25-59 adult,5679
Slovakia,60+ senior,4775
Slovenia,15-24 youth,122
Slovenia,25-59 adult,4193
Slovenia,60+ senior,3857
Solomon Islands,15-24 youth,5
Solomon Islands,25-59 adult,119
Solomon Islands,60+ senior,22
Somalia,15-24 youth,2
Somalia,25-59 adult,223
Somalia,60+ senior,128
Somaliland,25-59 adult,1
South Africa,0-14 child,3
South Africa,15-24 youth,135
South Africa,25-59 adult,6331
South Africa,60+ senior,2444
South Korea,0-14 child,13
South Korea,15-24 youth,665
South Korea,25-59 adult,11595
South Korea,60+ senior,3846
South Sudan,15-24 youth,8
South Sudan,25-59 adult,116
South Sudan,60+ senior,24
Spain,0-14 child,26
Spain,15-24 youth,1603
Spain,25-59 adult,34539
Spain,60+ senior,28238
Sri Lanka,15-24 youth,21
Sri Lanka,25-59 adult,1159
Sri Lanka,60+ senior,557
Sudan,15-24 youth,4
Sudan,25-59 adult,298
Sudan,60+ senior,171
Suriname,15-24 youth,6
Suriname,25-59 adult,386
Suriname,60+ senior,326
Sweden,0-14 child,14
Sweden,15-24 youth,393
Sweden,25-59 adult,11185
Sweden,60+ senior,9407
Switzerland,0-14 child,5
Switzerland,15-24 youth,311
Switzerland,25-59 adult,8745
Switzerland,60+ senior,9484
Syria,15-24 youth,21
Syria,25-59 adult,1099
Syria,60+ senior,920
São Tomé and Príncipe,25-59 adult,56
São Tomé and Príncipe,60+ senior,40
Taiwan,0-14 child,2
Taiwan,15-24 youth,104
Taiwan,25-59 adult,4062
Taiwan,60+ senior,3088
Tajikistan,15-24 youth,23
Tajikistan,25-59 adult,679
Tajikistan,60+ senior,913
Tanzania,0-14 child,1
Tanzania,15-24 youth,22
Tanzania,25-59 adult,409
Tanzania,60+ senior,202
Thailand,0-14 child,11
Thailand,15-24 youth,149
Thailand,25-59 adult,3313
Thailand,60+ senior,767
The Bahamas,15-24 youth,14
The Bahamas,25-59 adult,267
The Bahamas,60+ senior,69
The Gambia,15-24 youth,30
The Gambia,25-59 adult,280
The Gambia,60+ senior,154
Timor-Leste,15-24 youth,7
Timor-Leste,25-59 adult,244
Timor-Leste,60+ senior,164
Togo,15-24 youth,11
Togo,25-59 adult,370
Togo,60+ senior,108
Tonga,15-24 youth,4
Tonga,25-59 adult,328
Tonga,60+ senior,37
Trinidad and Tobago,15-24 youth,2
Trinidad and Tobago,25-59 adult,638
Trinidad and Tobago,60+ senior,356
Tunisia,15-24 youth,27
Tunisia,25-59 adult,1323
Tunisia,60+ senior,1378
Turkey,0-14 child,13
Turkey,15-24 youth,1373
Turkey,25-59 adult,11466
Turkey,60+ senior,7452
Turkmenistan,15-24 youth,6
Turkmenistan,25-59 adult,271
Turkmenistan,60+ senior,256
Turks and Caicos Islands,25-59 adult,1
Tuvalu,25-59 adult,50
Tuvalu,60+ senior,9
Uganda,0-14 child,2
Uganda,15-24 youth,62
Uganda,25-59 adult,1261
Uganda,60+ senior,528
Ukraine,0-14 child,6
Ukraine,15-24 youth,529
Ukraine,25-59 adult,15064
Ukraine,60+ senior,15736
United Arab Emirates,0-14 child,1
United Arab Emirates,15-24 youth,35
United Arab Emirates,25-59 adult,1010
United Arab Emirates,60+ senior,100
United Kingdom,0-14 child,66
United Kingdom,15-24 youth,1501
United Kingdom,25-59 adult,42908
United Kingdom,60+ senior,31529
United States,0-14 child,273
United States,15-24 youth,3303
United States,25-59 adult,105775
United States,60+ senior,89854
United States Virgin Islands,15-24 youth,1
United States Virgin Islands,25-59 adult,22
United States Virgin Islands,60+ senior,5
Uruguay,15-24 youth,174
Uruguay,25-59 adult,3693
Uruguay,60+ senior,3835
Uzbekistan,15-24 youth,109
Uzbekistan,25-59 adult,1691
Uzbekistan,60+ senior,1320
Vanuatu,15-24 youth,1
Vanuatu,25-59 adult,122
Vanuatu,60+ senior,24
Venezuela,0-14 child,2
Venezuela,15-24 youth,113
Venezuela,25-59 adult,3296
Venezuela,60+ senior,1497
Vietnam,0-14 child,1
Vietnam,15-24 youth,61
Vietnam,25-59 adult,2237
Vietnam,60+ senior,1491
Western Sahara,25-59 adult,8
Western Sahara,60+ senior,16
Yemen,15-24 youth,5
Yemen,25-59 adult,214
Yemen,60+ senior,193
Zambia,15-24 youth,25
Zambia,25-59 adult,532
Zambia,60+ senior,123
Zimbabwe,15-24 youth,17
Zimbabwe,25-59 adult,1043
Zimbabwe,60+ senior,303
